F_H2O,F_CO2,F_GPP
2.1678278645976506e-5,0.08097428959007011,0.49548922601371803
1.7312993368405284e-5,0.08389392382037454,0.5618691496239264
1.5670846304505666e-5,0.08423414240424203,0.5811354236851899
1.4508823072691965e-5,0.04497965398120155,0.5471873209724463
2.4251051810515093e-18,-0.4761112058912222,-1.800706680823427e-17
2.275215352914481e-18,-0.464675134080199,9.003533404117135e-18
2.006947752065497e-18,-0.4372596063151642,0.0
1.9974195928684524e-18,-0.43474068805358473,1.800706680823427e-17
1.9590993084572873e-18,-0.42928557998154165,1.800706680823427e-17
1.939280088082067e-18,-0.42656066005765514,8.103180063705422e-17
1.783439103430108e-18,-0.40671077144960865,0.0
1.7337658843440165e-18,-0.4014262890068355,-5.402120042470281e-17
1.7534385990207624e-18,-0.40412269343432555,7.202826723293708e-17
1.6135718798579912e-18,-0.3861891371924421,-6.302473382881995e-17
1.5860342508007708e-18,-0.3819110593239893,-8.103180063705422e-17
1.5374610570113999e-18,-0.3741708687485017,0.0
8.041161796195187e-6,0.05724102049600297,0.4502120724798115
9.498930067922303e-6,0.09065474039363033,0.524103396516403
1.2189332866086626e-5,0.08851532674684333,0.5750731088753106
1.4021104319908459e-5,0.08706664765495219,0.5882949873601567
1.6564697284334252e-5,0.08515524554180134,0.5802868062048241
2.035463340600706e-5,0.08240323297162079,0.5301348775839565
2.1123825969693497e-5,0.08163358780830726,0.5120345036812072
1.97851199221234e-5,0.08257740289405206,0.5347602896161321
1.713301320262378e-5,0.08451213217524947,0.5723913858897413
1.4615374801955649e-5,0.08610366984235902,0.5883499873080039
1.398686228987953e-5,0.08380972682194746,0.5855106155734592
3.1929591745061563e-18,-0.5015467918730475,0.0
2.4457782382235716e-18,-0.4777623686308685,0.0
2.1602357021467235e-18,-0.4584345167099822,8.103180063705422e-17
2.0308262527006032e-18,-0.4314667105539601,-8.103180063705422e-17
1.9228065131646912e-18,-0.41914103749003173,9.003533404117135e-18
1.8043909326601237e-18,-0.41365209176230155,-5.402120042470281e-17
1.7435481798904354e-18,-0.40733207161218593,0.0
1.5162870588511802e-18,-0.3722122942381776,-4.051590031852711e-17
1.5222397999590836e-18,-0.3779043454731102,4.501766702058568e-18
1.529909670607858e-18,-0.3755251655317428,-2.7010600212351406e-17
1.4378125555776064e-18,-0.3571382861276023,-4.501766702058568e-18
1.3864857168651348e-18,-0.35588900860635947,1.800706680823427e-17
1.3949690663490608e-18,-0.3562729606821369,-1.3505300106175703e-17
6.943433761219548e-6,0.07169126085019685,0.44100729910514014
9.115266929677509e-6,0.0909014028773518,0.5199098631180946
1.2355585019752713e-5,0.08830729267809372,0.5777444804796042
1.6512524389422978e-5,0.08517019595295876,0.5806852217233993
2.0130235570828532e-5,0.08237472193155708,0.5300968003115468
2.421347308313216e-5,0.07929798637363666,0.4550575161842041
2.618165323756057e-5,0.0774040170889635,0.4112187249624163
2.620444175749572e-5,0.0775355542981775,0.4141269317007078
2.4314221793156162e-5,0.07902085344175336,0.4486134941436482
1.9718844375625433e-5,0.08239725427276799,0.5313365064492891
1.7822623926727686e-5,0.08238219464796638,0.5684588007290629
1.5878488565614597e-5,0.04413645189549912,0.5428606362743458
2.3001351675836324e-18,-0.4618247178065143,3.601413361646854e-17
2.0342059675180622e-18,-0.45123614970744313,-4.5017667020585676e-17
1.5960231757515145e-18,-0.4035970413696129,-4.501766702058568e-18
1.5138368124718556e-18,-0.38953167416140927,-9.003533404117135e-18
1.415537095511865e-18,-0.36837516684795046,-5.229722764971123e-17
1.4184003156279655e-18,-0.36901508733282357,-4.793912534556863e-17
1.2784855999630753e-18,-0.34143032514413996,-4.358102304142603e-18
1.3199496548811825e-18,-0.3379177827177214,2.6148613824855616e-17
1.2867441479032786e-18,-0.3345424026619217,4.358102304142603e-18
1.1479225355291104e-18,-0.31404343699131215,-4.358102304142603e-17
1.072660077874919e-18,-0.3097514896604871,7.888609052210118e-34
1.0448996884733867e-18,-0.30546763117980835,-1.7432409216570412e-17
5.686838663360503e-6,0.08111504354544408,0.4105609142355487
8.909574547737095e-6,0.08765158798730138,0.5132277253145179
1.289743780148632e-5,0.08506494841803976,0.565099455412616
1.7001257622818198e-5,0.0817858541066144,0.5542519819539979
2.1236634743910242e-5,0.07848687018166123,0.4837260421590745
2.4925120980983924e-5,0.07581181604313358,0.4189619346870691
2.6737075405367123e-5,0.07440130902690222,0.3877839837577483
2.5751051111291196e-5,0.0747411987557881,0.3952269479516307
2.3201220541989754e-5,0.07677630683681322,0.44256379307931304
1.8537642597625666e-5,0.07997399268459757,0.5204838556393179
1.7693166980691144e-5,0.07939518158302786,0.5444619478165296
1.379428459327398e-5,0.04979925561814798,0.5367701953027021
2.002135795804448e-18,-0.43715323601596967,-5.229722764971123e-17
